Date	EUR
2003-10-01	254.05
2003-10-02	253.86
2003-10-03	253.18
2003-10-06	253.57
2003-10-07	253.8
2003-10-08	253.94
2003-10-09	253.74
2003-10-10	254.48
2003-10-13	257.35
2003-10-14	255.65
2003-10-15	256.28
2003-10-16	256.78
2003-10-17	256.87
2003-10-20	255.72
2003-10-21	256.55
2003-10-22	256.55
2003-10-23	257.38
2003-10-24	257.66
2003-10-27	257.55
2003-10-28	256.43
2003-10-29	255.7
2003-10-30	256.9
2003-10-31	260.0
2003-11-03	261.85
2003-11-04	259.05
2003-11-05	257.43
2003-11-06	257.53
2003-11-07	257.38
2003-11-10	257.25
2003-11-11	257.97
2003-11-12	258.28
2003-11-13	257.69
2003-11-14	258.2
2003-11-17	257.1
2003-11-18	257.75
2003-11-19	258.4
2003-11-20	258.15
2003-11-21	257.97
2003-11-24	259.65
2003-11-25	261.55
2003-11-26	261.5
2003-11-27	266.24
2003-11-28	262.95
2003-12-01	265.15
2003-12-02	273.8
2003-12-03	271.7
2003-12-04	267.43
2003-12-05	269.55
2003-12-08	267.9
2003-12-09	265.9
2003-12-10	264.08
2003-12-11	262.45
2003-12-12	264.0
2003-12-15	264.35
2003-12-16	263.85
2003-12-17	263.67
2003-12-18	263.19
2003-12-19	262.35
2003-12-22	262.2
2003-12-23	262.22
2003-12-24	260.13
2003-12-29	260.66
2003-12-30	260.9
2003-12-31	261.63
2004-01-02	261.63
2004-01-05	259.92
2004-01-06	260.23
2004-01-07	262.6
2004-01-08	265.4
2004-01-09	267.5
2004-01-12	269.02
2004-01-13	266.05
2004-01-14	265.8
2004-01-15	267.33
2004-01-16	265.63
2004-01-19	264.68
2004-01-20	265.15
2004-01-21	263.35
2004-01-22	262.68
2004-01-23	261.57
2004-01-26	262.51
2004-01-27	262.88
2004-01-28	262.42
2004-01-29	265.2
2004-01-30	264.05
2004-02-02	264.49
2004-02-03	265.64
2004-02-04	265.0
2004-02-05	267.18
2004-02-06	267.43
2004-02-09	265.35
2004-02-10	264.02
2004-02-11	264.45
2004-02-12	263.75
2004-02-13	263.35
2004-02-16	263.95
2004-02-17	263.33
2004-02-18	262.42
2004-02-19	261.28
2004-02-20	261.11
2004-02-23	259.93
2004-02-24	258.8
2004-02-25	258.05
2004-02-26	257.05
2004-02-27	256.7
2004-03-01	255.88
2004-03-02	256.73
2004-03-03	256.33
2004-03-04	254.5
2004-03-05	255.95
2004-03-08	253.65
2004-03-09	253.85
2004-03-10	253.2
2004-03-11	252.4
2004-03-12	253.45
2004-03-15	253.45
2004-03-16	254.88
2004-03-17	255.62
2004-03-18	254.3
2004-03-19	253.3
2004-03-22	252.6
2004-03-23	251.36
2004-03-24	251.36
2004-03-25	251.42
2004-03-26	251.0
2004-03-29	250.33
2004-03-30	249.7
2004-03-31	248.8
2004-04-01	249.35
2004-04-02	248.97
2004-04-05	248.03
2004-04-06	247.56
2004-04-07	248.58
2004-04-08	247.9
2004-04-13	249.1
2004-04-14	251.58
2004-04-15	254.0
2004-04-16	251.8
2004-04-19	251.48
2004-04-20	250.25
2004-04-21	250.08
2004-04-22	251.6
2004-04-23	250.48
2004-04-26	249.66
2004-04-27	250.75
2004-04-28	252.83
2004-04-29	252.36
2004-04-30	251.0
2004-05-04	251.3
2004-05-05	250.78
2004-05-06	251.45
2004-05-07	252.77
2004-05-10	255.33
2004-05-11	254.05
2004-05-12	254.8
2004-05-13	255.9
2004-05-14	256.33
2004-05-17	254.65
2004-05-18	253.33
2004-05-19	252.15
2004-05-20	253.13
2004-05-21	253.35
2004-05-24	251.95
2004-05-25	251.5
2004-05-26	251.19
2004-05-27	251.41
2004-05-28	251.6
2004-06-01	251.59
2004-06-02	251.66
2004-06-03	251.77
2004-06-04	252.8
2004-06-07	251.42
2004-06-08	251.55
2004-06-09	252.3
2004-06-10	252.73
2004-06-11	253.3
2004-06-14	253.22
2004-06-15	253.63
2004-06-16	253.4
2004-06-17	254.6
2004-06-18	254.65
2004-06-21	254.9
2004-06-22	255.2
2004-06-23	253.68
2004-06-24	253.23
2004-06-25	253.18
2004-06-28	253.48
2004-06-29	252.95
2004-06-30	250.8
2004-07-01	250.9
2004-07-02	250.48
2004-07-05	250.13
2004-07-06	250.48
2004-07-07	250.65
2004-07-08	250.75
2004-07-09	251.65
2004-07-12	251.48
2004-07-13	250.63
2004-07-14	249.28
2004-07-15	250.82
2004-07-16	249.84
2004-07-19	249.24
2004-07-20	249.93
2004-07-21	249.95
2004-07-22	249.16
2004-07-23	249.28
2004-07-26	249.1
2004-07-27	248.07
2004-07-28	247.53
2004-07-29	247.87
2004-07-30	248.53
2004-08-02	250.33
2004-08-03	250.68
2004-08-04	250.1
2004-08-05	249.1
2004-08-06	247.55
2004-08-09	246.43
2004-08-10	247.18
2004-08-11	247.37
2004-08-12	248.55
2004-08-13	248.2
2004-08-16	247.95
2004-08-17	246.83
2004-08-18	247.2
2004-08-19	249.38
2004-08-20	251.38
2004-08-23	249.85
2004-08-24	249.63
2004-08-25	249.58
2004-08-26	249.7
2004-08-27	248.25
2004-08-31	249.18
2004-09-01	248.3
2004-09-02	248.15
2004-09-03	247.95
2004-09-06	247.89
2004-09-07	247.6
2004-09-08	248.8
2004-09-09	250.05
2004-09-10	249.65
2004-09-13	248.81
2004-09-14	247.9
2004-09-15	247.05
2004-09-16	247.18
2004-09-17	247.48
2004-09-20	246.88
2004-09-21	246.24
2004-09-22	246.16
2004-09-23	245.25
2004-09-24	246.2
2004-09-27	245.69
2004-09-28	246.73
2004-09-29	247.6
2004-09-30	247.0
2004-10-01	246.15
2004-10-04	246.54
2004-10-05	245.7
2004-10-06	245.92
2004-10-07	246.05
2004-10-08	245.75
2004-10-11	245.63
2004-10-12	246.89
2004-10-13	247.1
2004-10-14	248.3
2004-10-15	247.93
2004-10-18	247.67
2004-10-19	246.45
2004-10-20	246.9
2004-10-21	246.45
2004-10-22	246.75
2004-10-25	247.73
2004-10-26	247.48
2004-10-27	246.73
2004-10-28	246.23
2004-10-29	245.8
2004-11-01	245.85
2004-11-02	245.6
2004-11-03	245.58
2004-11-04	245.45
2004-11-05	245.48
2004-11-08	245.33
2004-11-09	245.13
2004-11-10	244.8
2004-11-11	244.7
2004-11-12	243.93
2004-11-15	244.25
2004-11-16	244.55
2004-11-17	244.37
2004-11-18	247.03
2004-11-19	247.76
2004-11-22	245.4
2004-11-23	244.68
2004-11-24	244.72
2004-11-25	245.18
2004-11-26	245.58
2004-11-29	246.46
2004-11-30	245.28
2004-12-01	244.45
2004-12-02	244.55
2004-12-03	244.38
2004-12-06	246.25
2004-12-07	245.76
2004-12-08	245.58
2004-12-09	247.3
2004-12-10	248.5
2004-12-13	247.23
2004-12-14	245.86
2004-12-15	245.43
2004-12-16	245.95
2004-12-17	245.28
2004-12-20	244.89
2004-12-21	245.43
2004-12-22	245.53
2004-12-23	245.7
2004-12-24	245.95
2004-12-29	245.6
2004-12-30	245.74
2004-12-31	245.65
2005-01-04	245.35
2005-01-05	246.05
2005-01-06	247.88
2005-01-07	248.57
2005-01-10	247.75
2005-01-11	246.5
2005-01-12	247.15
2005-01-13	246.95
2005-01-14	247.03
2005-01-17	246.0
2005-01-18	246.95
2005-01-19	246.49
2005-01-20	246.95
2005-01-21	246.53
2005-01-24	245.9
2005-01-25	245.95
2005-01-26	245.17
2005-01-27	245.28
2005-01-28	244.98
2005-01-31	245.55
2005-02-01	245.3
2005-02-02	244.73
2005-02-03	244.39
2005-02-04	244.18
2005-02-07	244.0
2005-02-08	245.9
2005-02-09	244.33
2005-02-10	244.3
2005-02-11	244.43
2005-02-14	244.24
2005-02-15	244.15
2005-02-16	243.91
2005-02-17	243.27
2005-02-18	243.21
2005-02-21	243.4
2005-02-22	242.4
2005-02-23	242.3
2005-02-24	242.38
2005-02-25	242.15
2005-02-28	241.73
