Date	GBP
1975-01-02	0.5609
1975-01-03	0.5631
1975-01-06	0.5651
1975-01-07	0.5654
1975-01-08	0.5637
1975-01-09	0.5636
1975-01-10	0.5642
1975-01-13	0.5634
1975-01-14	0.5615
1975-01-15	0.5626
1975-01-16	0.5631
1975-01-17	0.5637
1975-01-20	0.5656
1975-01-21	0.5651
1975-01-22	0.564
1975-01-23	0.5673
1975-01-24	0.5682
1975-01-27	0.5691
1975-01-28	0.5705
1975-01-29	0.5678
1975-01-30	0.5675
1975-01-31	0.5658
1975-02-03	0.5652
1975-02-04	0.5615
1975-02-05	0.5617
1975-02-06	0.5634
1975-02-07	0.5634
1975-02-10	0.5633
1975-02-11	0.5643
1975-02-12	0.5636
1975-02-13	0.5667
1975-02-14	0.5666
1975-02-17	0.5678
1975-02-18	0.5672
1975-02-19	0.5655
1975-02-20	0.5678
1975-02-21	0.5678
1975-02-24	0.5669
1975-02-25	0.5665
1975-02-26	0.5685
1975-02-27	0.5701
1975-02-28	0.57
1975-03-03	0.5699
1975-03-04	0.5675
1975-03-05	0.5671
1975-03-06	0.5661
1975-03-07	0.5654
1975-03-10	0.5661
1975-03-11	0.5664
1975-03-12	0.5654
1975-03-13	0.5649
1975-03-14	0.5659
1975-03-17	0.5658
1975-03-18	0.5665
1975-03-19	0.5672
1975-03-20	0.5663
1975-03-21	0.5654
1975-03-24	0.5646
1975-03-25	0.5644
1975-03-26	0.5637
1975-03-27	0.5644
1975-04-01	0.5649
1975-04-02	0.5651
1975-04-03	0.5645
1975-04-04	0.5628
1975-04-07	0.5657
1975-04-08	0.5671
1975-04-09	0.5675
1975-04-10	0.5675
1975-04-11	0.5674
1975-04-14	0.5679
1975-04-15	0.5679
1975-04-16	0.5683
1975-04-17	0.5683
1975-04-18	0.5668
1975-04-21	0.5689
1975-04-22	0.572
1975-04-23	0.5718
1975-04-24	0.5736
1975-04-25	0.5731
1975-04-28	0.5734
1975-04-29	0.5736
1975-04-30	0.5749
1975-05-01	0.576
1975-05-02	0.5773
1975-05-05	0.579
1975-05-06	0.58
1975-05-07	0.5819
1975-05-08	0.5848
1975-05-09	0.5883
1975-05-12	0.5926
1975-05-13	0.596
1975-05-14	0.5952
