Date	GBP
2003-10-01	361.518
2003-10-02	362.7517
2003-10-03	362.947
2003-10-06	363.4144
2003-10-07	359.628
2003-10-08	357.0303
2003-10-09	359.5667
2003-10-10	359.2828
2003-10-13	367.1671
2003-10-14	364.3902
2003-10-15	367.3853
2003-10-16	369.2022
2003-10-17	369.1565
2003-10-20	367.5117
2003-10-21	368.0708
2003-10-22	367.7539
2003-10-23	369.5679
2003-10-24	370.1272
2003-10-27	371.0368
2003-10-28	371.827
2003-10-29	371.9962
2003-10-30	373.8382
2003-10-31	379.462
2003-11-03	383.8093
2003-11-04	377.9827
2003-11-05	377.1244
2003-11-06	376.2971
2003-11-07	374.5165
2003-11-10	373.973
2003-11-11	372.999
2003-11-12	372.0521
2003-11-13	371.1917
2003-11-14	369.6853
2003-11-17	368.6043
2003-11-18	368.2034
2003-11-19	368.2659
2003-11-20	369.0355
2003-11-21	368.5638
2003-11-24	373.9035
2003-11-25	376.3199
2003-11-26	374.9116
2003-11-27	383.4965
2003-11-28	377.3322
2003-12-01	381.6145
2003-12-02	391.7044
2003-12-03	387.7607
2003-12-04	381.2142
2003-12-05	383.0885
2003-12-08	379.9146
2003-12-09	379.5419
2003-12-10	376.7929
2003-12-11	376.4067
2003-12-12	375.9373
2003-12-15	375.6482
2003-12-16	374.4058
2003-12-17	375.1998
2003-12-18	375.9208
2003-12-19	374.2692
2003-12-22	371.9065
2003-12-23	372.8187
2003-12-24	370.4135
2003-12-29	369.8406
2003-12-30	370.6966
2003-12-31	371.4329
2004-01-02	371.7713
2004-01-05	370.5464
2004-01-06	371.9351
2004-01-07	376.7242
2004-01-08	381.5197
2004-01-09	384.5541
2004-01-12	388.8583
2004-01-13	384.7727
2004-01-14	385.2424
2004-01-15	386.4477
2004-01-16	386.0952
2004-01-19	381.8654
2004-01-20	383.3769
2004-01-21	381.9799
2004-01-22	381.082
2004-01-23	378.0892
2004-01-26	380.3934
2004-01-27	379.4282
2004-01-28	381.6401
2004-01-29	388.6763
2004-01-30	386.8442
2004-02-02	386.7481
2004-02-03	388.6999
2004-02-04	387.1439
2004-02-05	389.9466
2004-02-06	388.6496
2004-02-09	388.6823
2004-02-10	387.8091
