Date	HUF
2003-10-01	216.7662
2003-10-02	217.2157
2003-10-03	217.6956
2003-10-06	217.3581
2003-10-07	215.633
2003-10-08	215.0394
2003-10-09	216.2434
2003-10-10	215.5697
2003-10-13	220.4471
2003-10-14	218.5977
2003-10-15	220.2475
2003-10-16	219.6015
2003-10-17	220.7925
2003-10-20	219.2575
2003-10-21	219.5174
2003-10-22	217.6735
2003-10-23	218.3407
2003-10-24	218.0049
2003-10-27	218.7633
2003-10-28	219.4523
2003-10-29	218.6965
2003-10-30	219.8169
2003-10-31	223.579
2003-11-03	228.2514
2003-11-04	225.2021
2003-11-05	224.125
2003-11-06	225.2515
2003-11-07	224.3354
2003-11-10	223.5984
2003-11-11	223.874
2003-11-12	221.9663
2003-11-13	220.1538
2003-11-14	219.3713
2003-11-17	218.1032
2003-11-18	216.6877
2003-11-19	216.6876
2003-11-20	216.587
2003-11-21	216.2364
2003-11-24	220.5283
2003-11-25	221.7277
2003-11-26	219.3608
2003-11-27	223.6935
2003-11-28	219.3809
2003-12-01	221.6417
2003-12-02	226.5619
2003-12-03	224.3971
2003-12-04	221.6761
2003-12-05	221.9615
2003-12-08	219.2487
2003-12-09	217.933
2003-12-10	215.7516
2003-12-11	216.1328
2003-12-12	215.2993
2003-12-15	215.0586
2003-12-16	213.9729
2003-12-17	212.9634
2003-12-18	212.696
2003-12-19	212.3604
2003-12-22	211.0941
2003-12-23	211.1272
2003-12-24	208.8391
2003-12-29	208.812
2003-12-30	208.2203
2003-12-31	207.4453
2004-01-02	207.8573
2004-01-05	205.0975
2004-01-06	204.118
2004-01-07	206.9346
2004-01-08	208.615
2004-01-09	208.236
2004-01-12	210.139
2004-01-13	208.0466
2004-01-14	209.5719
2004-01-15	212.0825
2004-01-16	214.3214
2004-01-19	213.8828
2004-01-20	210.9723
2004-01-21	208.561
2004-01-22	206.737
2004-01-23	206.2855
2004-01-26	208.9881
2004-01-27	208.4199
2004-01-28	208.4518
2004-01-29	214.355
2004-01-30	212.5322
2004-02-02	212.5955
2004-02-03	211.5305
2004-02-04	211.729
2004-02-05	212.014
2004-02-06	210.376
2004-02-09	209.2666
2004-02-10	208.0208
2004-02-11	208.6226
2004-02-12	205.6851
2004-02-13	205.9675
2004-02-16	206.469
2004-02-17	205.3736
2004-02-18	204.6
2004-02-19	206.0893
2004-02-20	207.7413
2004-02-23	206.9671
2004-02-24	204.2782
2004-02-25	205.7651
2004-02-26	206.9479
2004-02-27	206.4833
2004-03-01	205.5922
2004-03-02	208.9274
2004-03-03	211.232
2004-03-04	208.9319
2004-03-05	206.0126
2004-03-08	205.3181
2004-03-09	204.6187
2004-03-10	207.1505
2004-03-11	206.0576
2004-03-12	207.8993
2004-03-15	207.4229
2004-03-16	206.4642
2004-03-17	209.6277
2004-03-18	205.4617
2004-03-19	205.334
2004-03-22	204.1047
2004-03-23	204.3245
2004-03-24	205.7461
2004-03-25	206.5051
2004-03-26	207.438
2004-03-29	206.016
2004-03-30	204.9409
2004-03-31	202.4245
2004-04-01	201.5601
2004-04-02	204.8799
2004-04-05	206.468
2004-04-06	205.2907
2004-04-07	204.2564
2004-04-08	204.7914
2004-04-13	209.152
2004-04-14	211.0039
2004-04-15	212.8551
2004-04-16	209.2405
2004-04-19	209.0614
2004-04-20	210.0117
2004-04-21	210.6469
2004-04-22	212.0344
2004-04-23	211.7866
2004-04-26	210.6125
2004-04-27	210.6966
2004-04-28	213.4848
2004-04-29	211.3214
2004-04-30	209.3586
2004-05-04	207.9265
2004-05-05	206.8289
2004-05-06	208.154
2004-05-07	212.1978
2004-05-10	215.196
2004-05-11	215.1872
2004-05-12	214.1356
2004-05-13	216.1683
2004-05-14	216.221
2004-05-17	212.2437
2004-05-18	211.8144
2004-05-19	209.5313
2004-05-20	212.2327
2004-05-21	210.8088
2004-05-24	210.6077
2004-05-25	207.7826
2004-05-26	207.7152
2004-05-27	204.9649
2004-05-28	206.0437
2004-06-01	205.8333
2004-06-02	205.0183
2004-06-03	205.6105
2004-06-04	206.5697
2004-06-07	204.2239
2004-06-08	205.0456
2004-06-09	208.6158
2004-06-10	208.9887
2004-06-11	210.89
2004-06-14	209.5498
2004-06-15	210.0108
2004-06-16	211.0436
2004-06-17	211.5496
2004-06-18	209.986
2004-06-21	210.7831
2004-06-22	211.101
2004-06-23	209.8263
2004-06-24	207.9405
2004-06-25	208.619
2004-06-28	207.9409
2004-06-29	208.7908
2004-06-30	206.1144
2004-07-01	206.3832
2004-07-02	203.6423
2004-07-05	203.8217
2004-07-06	204.0238
2004-07-07	202.7585
2004-07-08	202.2014
2004-07-09	203.1237
2004-07-12	202.692
2004-07-13	203.3509
2004-07-14	201.162
2004-07-15	202.732
2004-07-16	200.7392
2004-07-19	200.644
2004-07-20	201.931
2004-07-21	204.4414
2004-07-22	203.0478
2004-07-23	205.7784
2004-07-26	204.9868
2004-07-27	205.5942
2004-07-28	205.5556
2004-07-29	205.3604
2004-07-30	206.4374
2004-08-02	208.0017
2004-08-03	207.8262
2004-08-04	207.4486
2004-08-05	206.7735
2004-08-06	201.9497
2004-08-09	201.0525
2004-08-10	200.7309
2004-08-11	202.6958
2004-08-12	203.1965
2004-08-13	200.9229
2004-08-16	200.8831
2004-08-17	200.2028
2004-08-18	201.0573
2004-08-19	201.7801
2004-08-20	203.9594
2004-08-23	204.6609
2004-08-24	205.9314
